iter	Passed	Remaining
0	848	847656
1	1329	663559
2	1818	604513
3	2308	574705
4	2797	556621
5	3290	545194
6	3777	535838
7	4257	527946
8	4719	519643
9	5200	514850
10	5697	512268
11	6177	508640
12	6694	508237
13	7283	512972
14	7884	517734
15	8454	519981
16	9035	522458
17	9626	525160
18	10220	527675
19	10877	532985
20	11466	534560
21	12078	536939
22	12667	538084
23	13233	538156
24	13833	539497
25	14408	539777
26	14991	540256
27	15577	540767
28	16162	541161
29	16715	540474
30	17305	540920
31	17894	541316
32	18485	541670
33	19095	542549
34	19661	542089
35	20224	541567
36	20911	544258
37	21537	545243
38	22177	546469
39	22929	550310
40	23692	554177
41	24511	559096
42	25597	569694
43	26390	573386
44	27087	574860
45	28071	582169
46	29409	596334
47	30792	610713
48	32325	627375
49	33583	638090
50	34991	651122
51	36240	660684
52	37484	669768
53	38749	678833
54	40009	687437
55	41254	695429
56	42529	703597
57	43767	710842
58	45021	718056
59	46378	726597
60	47653	733545
61	48871	739378
62	50095	745070
63	51380	751439
64	52684	757850
65	53907	762874
66	55228	769084
67	56545	775003
68	57859	780684
69	59184	786304
70	60434	790750
71	61830	796932
72	63051	800663
73	64274	804302
74	65527	808177
75	66794	812075
76	68047	815681
77	69772	824747
78	71269	830880
79	72657	835565
80	74062	840284
81	75403	844152
82	76563	845889
83	78400	854937
84	80044	861657
85	81915	870592
86	83208	873215
87	84435	875053
88	85644	876657
89	86750	877147
90	87339	872434
91	87927	867807
92	88537	863481
93	89199	859729
94	89814	855600
95	90462	851851
96	91071	847807
97	91656	843612
98	92247	839547
99	92841	835574
100	93405	831401
101	94016	827715
102	94594	823794
103	95200	820192
104	95773	816351
105	96399	813027
106	97014	809666
107	97667	806663
108	98407	804411
109	99288	803331
110	100303	803333
111	101028	801009
112	101668	798049
113	102335	795343
114	103014	792764
115	103699	790258
116	104376	787733
117	105165	786068
118	105841	783582
119	106467	780764
120	107102	778043
121	107736	775346
122	108391	772839
123	109131	770960
124	109807	768655
125	110524	766656
126	111325	765249
127	112230	764567
128	113165	764089
129	114196	764237
130	115360	765251
131	116509	766140
132	117501	765970
133	118399	765179
134	119317	764517
135	120210	763691
136	120960	761961
137	121678	760047
138	122377	758033
139	123037	755800
140	123688	753536
141	124352	751369
142	124945	748801
143	125543	746285
144	126159	743903
145	126791	741641
146	127381	739159
147	128015	736952
148	128656	734808
149	129265	732504
150	129880	730256
151	130482	727952
152	131081	725662
153	131680	723390
154	132384	721708
155	133067	719927
156	133786	718357
157	134478	716651
158	135145	714828
159	135870	713317
160	136639	712054
161	137292	710191
162	137966	708453
163	138612	706587
164	139311	704998
165	140077	703761
166	140789	702263
167	141534	700930
168	142227	699356
169	142913	697752
170	143605	696191
171	144294	694628
172	145046	693371
173	145778	692029
174	146437	690348
175	147203	689179
176	147914	687758
177	148577	686125
178	149335	684941
179	150045	683538
180	150758	682160
181	151484	680846
182	152353	680179
183	153076	678862
184	154009	678476
185	154783	677387
186	155455	675855
187	156075	674115
188	156782	672753
189	157540	671620
190	158535	671494
191	159528	671349
192	160586	671467
193	161507	671003
194	162410	670463
195	163555	670912
196	164468	670395
197	165374	669849
198	166196	668960
199	167056	668227
200	168045	668000
201	168833	666976
202	169517	665544
203	170149	663917
204	170778	662287
205	171556	661241
206	172304	660085
207	173077	659024
208	173736	657537
209	174447	656255
210	175142	654915
211	175805	653467
212	176506	652160
213	177248	651014
214	177964	649778
215	178696	648600
216	179434	647451
217	180164	646278
218	180890	645092
219	181510	643536
220	182086	641834
221	182658	640126
222	183243	638474
223	183829	636837
224	184427	635251
225	185031	633690
226	185611	632058
227	186203	630476
228	186772	628828
229	187348	627208
230	187999	625850
231	188615	624383
232	189212	622859
233	189819	621375
234	190511	620174
235	191230	619066
236	191920	617870
237	192548	616477
238	193358	615673
239	194242	615101
240	194996	614117
241	195731	613076
242	196381	611773
243	197232	611096
244	198066	610368
245	198755	609193
246	199527	608275
247	200186	607016
248	200967	606131
249	201673	605021
250	202361	603860
251	203154	603015
252	203950	602176
253	204625	600986
254	205454	600249
255	206393	599829
256	207203	599036
257	207960	598088
258	208628	596887
259	209385	595942
260	210001	594601
261	210655	593373
262	211291	592099
263	212078	591249
264	212779	590162
265	213426	588929
266	214089	587743
267	214811	586722
268	215799	586427
269	217060	586867
270	218339	587341
271	219360	587110
272	220380	586875
273	221367	586542
274	222181	585749
275	223197	585490
276	224273	585377
277	225307	585151
278	226218	584599
279	227089	583944
280	227935	583221
281	228962	582960
282	229943	582576
283	230911	582157
284	232241	582642
285	233292	582415
286	234411	582353
287	235524	582269
288	236682	582287
289	237720	582004
290	238646	581444
291	239376	580406
292	240172	579528
293	240833	578328
294	241528	577212
295	242332	576357
296	243209	575678
297	244186	575232
298	245124	574690
299	246115	574269
300	247110	573853
301	247999	573190
302	248820	572370
303	249558	571358
304	250253	570250
305	250990	569240
306	251776	568342
307	252518	567347
308	253265	566362
309	254108	565596
310	254975	564880
311	255684	563816
312	256489	562964
313	257280	562084
314	258087	561237
315	258843	560282
316	259465	559037
317	260097	557818
318	260659	556453
319	261229	555113
320	261811	553800
321	262488	552692
322	263152	551560
323	263744	550281
324	264340	549015
325	264935	547751
326	265504	546435
327	266101	545182
328	266690	543918
329	267358	542818
330	268111	541892
331	268897	541035
332	269719	540248
333	270595	539569
334	271367	538685
335	272123	537767
336	273004	537097
337	273901	536458
338	274828	535875
339	275643	535072
340	276449	534253
341	277391	533694
342	278308	533087
343	279126	532286
344	279832	531276
345	280496	530186
346	281333	529425
347	282309	528924
348	283294	528437
349	284176	527756
350	285343	527600
351	286181	526833
352	287096	526207
353	288171	525872
354	289099	525266
355	290080	524753
356	291008	524142
357	291835	523347
358	292636	522506
359	293364	521536
360	294027	520453
361	294687	519365
362	295304	518205
363	295932	517068
364	296519	515862
365	297137	514713
366	297724	513514
367	298337	512362
368	299039	511365
369	299805	510479
370	300584	509615
371	301371	508766
372	302159	507919
373	302909	507008
374	303653	506089
375	304375	505133
376	305206	504360
377	306381	504150
378	307358	503613
379	308084	502663
380	308800	501700
381	309524	500749
382	310275	499843
383	310976	498858
384	311680	497879
385	312392	496914
386	313024	495824
387	313777	494927
388	314500	493984
389	315231	493053
390	315923	492065
391	316642	491118
392	317317	490105
393	317973	489066
394	318600	487983
395	319314	487034
396	320036	486101
397	320751	485157
398	321432	484163
399	322064	483096
400	322758	482126
401	323440	481137
402	324093	480109
403	324713	479032
404	325415	478079
405	326104	477109
406	326844	476213
407	327476	475161
408	328147	474168
409	328791	473138
410	329467	472156
411	330152	471188
412	331107	470605
413	331962	469878
414	332688	468969
415	333423	468075
416	334294	467371
417	335096	466569
418	335805	465639
419	336595	464822
420	337348	463954
421	338128	463124
422	339109	462567
423	340304	462300
424	341466	461983
425	342498	461489
426	343608	461094
427	344577	460509
428	345512	459877
429	346357	459124
430	347254	458440
431	348253	457889
432	349311	457412
433	350287	456827
434	351187	456140
435	351963	455292
436	353206	455046
437	354455	454803
438	355709	454562
439	356986	454346
440	358238	454094
441	359763	454181
442	361232	454190
443	362595	454061
444	364230	454265
445	365838	454426
446	367253	454342
447	369060	454734
448	370715	454931
449	371924	454574
450	373360	454489
451	374842	454454
452	376394	454498
453	377889	454465
454	379472	454532
455	380810	454300
456	382404	454366
457	384078	454520
458	385666	454565
459	387368	454737
460	389121	454959
461	390815	455105
462	392355	455064
463	394063	455211
464	395544	455088
465	396987	454917
466	398265	454551
467	399615	454264
468	401118	454144
469	402558	453949
470	403803	453528
471	405278	453362
472	406774	453213
473	410472	455503
474	414651	458299
475	416887	458926
476	418584	458951
477	420360	459054
478	421826	458813
479	423346	458625
480	424633	458180
481	425935	457748
482	427244	457319
483	428733	457079
484	430429	457054
485	431998	456887
486	434028	457200
487	435137	456537
488	436278	455906
489	437403	455257
490	438536	454613
491	439767	454068
492	440898	453418
493	442008	452745
494	443183	452136
495	444315	451481
496	445427	450805
497	446572	450159
498	447709	449503
499	448893	448893
500	450053	448257
501	451248	447652
502	452361	446965
503	453479	446281
504	454616	445614
505	455777	444968
506	456930	444313
507	458059	443632
508	459221	442982
509	460350	442297
510	461567	441696
511	462720	441030
512	463831	440323
513	464939	439611
514	466027	438880
515	467219	438244
516	468414	437609
517	469571	436936
518	470773	436304
519	471942	435639
520	473038	434904
521	474189	434219
522	475307	433502
523	476443	432799
524	477578	432095
525	478813	431478
526	479945	430767
527	481180	430146
528	482303	429423
529	483427	428700
530	484551	427974
531	485707	427276
532	486831	426548
533	487925	425792
534	489061	425071
535	490275	424417
536	491431	423710
537	492587	423002
538	493863	422395
539	495014	421679
540	496188	420980
541	497344	420265
542	498468	419521
543	499631	418809
544	500773	418077
545	501951	417373
546	503150	416686
547	504293	415950
548	505382	415168
549	506498	414407
550	507664	413686
551	508814	412951
552	509979	412225
553	511104	411466
554	512237	410712
555	513353	409944
556	514561	409247
557	515725	408513
558	516880	407771
559	518025	407019
560	519214	406301
561	520341	405533
562	521003	404402
563	521538	403175
564	522076	401952
565	522601	400722
566	523151	399514
567	523691	398300
